ticker,name_of_issuer,sector
EXEEW,CHESAPEAKE ENERGY CORP,
EXEEZ,EXPAND ENERGY CORPORATION,
EXEEL,EXPAND ENERGY CORPORATION,
PRENW,PRENETICS GLOBAL LTD,
SRZNW,"SURROZEN, INC.",
AUROW,AURORA INNOVATION INC,
AUROW,REINVENT TECHNOLOGY PARTNERS,
CZOWF,,
EVTWF,VERTICAL AEROSPACE LTD,
HTZWW,HERTZ GLOBAL HLDGS INC,
IBACR,IB ACQUISITION CORP,
BACQR,BLEICHROEDER ACQUISITION COR,
CAPNR,CAYSON ACQUISITION CORP,
FVNNR,FUTURE VISION II ACQUISITION,
SVIRF,SPRING VALLEY ACQUISTN CORP,
CDTTW,CDT EQUITY INC,
SBCWW,SBC MED GROUP HLDGS INC,
POLEW,ANDRETTI ACQUISITION CORP II,
KDKRW,ARES ACQUISITION CORP II,
KFIIR,K&F GROWTH ACQUISITION CORP,
MLACR,MOUNTAIN LAKE ACQUISITION CO,
OACCW,OAKTREE ACQUISITION CORP III,
RANGR,RANGE CAP ACQUISITION CORP,
AACBR,ARTIUS II ACQUISITION INC,
XRPNW,ARMADA ACQUISITION CORP II,
CHPGR,CHAMPIONSGATE ACQUISITION CO,
CHACR,CRANE HBR ACQUISITION CORP,
IPODW,DUNE ACQUISITION CORP II,
EGHAR,EGH ACQUISITION CORP.,
IPCXR,INFLECTION PT ACQUISITION CO,
NPACW,NEW PROVIDENCE ACQUISITION C,
PELIR,PELICAN ACQUISITION CORP,
AXINR,AXIOM INTELLIGENCE AC CORP 1,
BACCR,BLUE ACQUISITION CORP.,
IPEXR,MAYWOOD ACQUISITION CORP,
OYSER,OYSTER ENTERPRISES II ACQUIS,
TVACW,TEXAS VENTURES ACQUISITION I,
VCICW,VINE HILL CAP INVT CORP.,
EVOXW,EVOLUTION GLOBAL ACQUISITION,
GSRFR,GSR IV ACQUISITION CORP,
SNAXW,ANDINA ACQUISITION CORP III,
SNAXW,STRYVE FOODS INC,
RBOTW,D8 HOLDINGS CORP,
OUSTZ,COLONNADE ACQUISITION CORP,
OUSTZ,OUSTER INC,
SSTPW,TREBIA ACQUISITION CORP,
NVVEW,NUVVE HOLDING CORP,
MYPSW,ACIES ACQUISITION CORP,
MYPSW,PLAYSTUDIOS INC,
DFNSW,BRILLIANT ACQUISITION CORP,
QSIAW,QUANTUM SI INC,
CSTWF,CONSTELLATION ACQUISITN CORP,
DNABW,GINKGO BIOWORKS HOLDINGS INC,
DNABW,SOARING EAGLE ACQUISITION CO,
EVGOW,EVGO INC,
PUCKW,GOAL ACQUISITIONS CORP,
KPLTW,KATAPULT HOLDINGS INC,
OPADW,OFFERPAD SOLUTIONS INC,
PDYNW,SARCOS TECHN AND ROBOTICS CO,
SPWRW,FREEDOM ACQUISITION I CORP,
GDEVW,NEXTERS INC,
LILWF,LILIUM N V,
EVCOU,EVEREST CONSOLIDATOR ACQ COR,
FFAIW,FARADAY FUTRE INTLGT ELCTR I,
VLDXW,JAWS SPITFIRE ACQUISITION CO,
VLDXW,VELO3D INC,
MAPSW,WM TECHNOLOGY INC,
WTMAU,WELSBACH TECH METALS ACQU CO,
HAIUF,HEALTHCARE AI ACQUISITION CO,
JWSWF,JAWS MUSTANG ACQUISITION COR,
VEEAW,PLUM ACQUISITION CORP I,
INVZW,INNOVIZ TECHNOLOGIES LTD,
AEAEW,ALTENERGY ACQUISITION CORP,
ATEKW,ATHENA TECHNOLOGY ACQ CORP I,
IGTAR,INCEPTION GROWTH ACQUSTN LTD,
WTMAR,WELSBACH TECH METALS ACQU CO,
TGAWF,TARGET GLOBAL ACQUISI I CORP,
YOTAW,YOTTA ACQUISITION CORPORATIO,
YOTAR,YOTTA ACQUISITION CORPORATIO,
IVAWF,INVESTCORP INDIA ACQUISTN CO,
MSSWF,METAL SKY STAR ACQUISITION C,
SATLW,SATELLOGIC INC,
VMCWF,VALUENCE MERGER CORP I,
EMCWF,EMBRACE CHANGE ACQUISITN COR,
EMCRF,EMBRACE CHANGE ACQUISITN COR,
PLMWF,ALPHA PARTNERS TECH MERGR CO,
ISRLF,ISRAEL ACQUISITIONS CORP,
ISLWF,ISRAEL ACQUISITIONS CORP,
FLDDW,FTAC EMERALD ACQUISITION COR,
KVACW,KEEN VISION ACQUISITION CORP,
BAYAR,BAYVIEW ACQUISITION CORP,
AIMWF,AIMFINITY INVESTMENT CORP I,
ANSCW,AGRICULTURE & NAT SOL ACQ CO,
AFJKR,AIMEI HEALTH TECHNOLOGY CO L,
BKHAR,BLACK HAWK ACQUISITION CORP,
ALFUW,CENTURION ACQUISITION CORP,
DTSQR,DT CLOUD STAR ACQUISITION CO,
EURKR,EUREKA ACQUISITION CORP,
FSHPR,FLAG SHIP ACQUISITION CORP,
GIGGW,GIGCAPITAL7 CORP,
GPATW,GP-ACT III ACQUISITION CORP,
CUBWW,LIONHEART HOLDINGS,
SMNRW,DENALI CAPITAL ACQUISITN COR,
RFAIR,RF ACQUISITION CORP II,
SIMAW,SIM ACQUISITION CORP. I,
YHNAR,YHN ACQUISITION I LTD,
FACTW,FACT II ACQUISITION CORP,
RDACR,RISING DRAGON ACQUISITION CO,
TAVIR,TAVIA ACQUISITION CORP,
COLAR,COLUMBUS ACQUISITION CORP,
DMAAR,DRUGS MADE IN AMER ACQUTN CO,
HVIIR,HENNESSY CAP INVT CORP VII,
HSPTR,HORIZON SPACE ACQUISITION II,
PLMKW,PLUM ACQUISITION CORP IV,
RIBBR,RIBBON ACQUISITION CORP,
DRDBW,ROMAN DBDR ACQUISITION CORP,
PGACR,AIFEEX NEXUS ACQUISITION COR,
TDACW,TRANSLATIONAL DEV ACQUISITIO,
GENVR,GEN DIGITAL INC,
ATIIW,ARCHIMEDES TECH SPAC PARTNER,
TACOW,BERTO ACQUISITION CORP,
CGCTW,CARTESIAN GROWTH CORP III,
DAAQW,DIGITAL ASSET ACQUISITION CO,
FERAR,FIFTH ERA ACQUISITION CORP I,
GSHRW,GESHER ACQUISITION CORP. II,
LCCCR,LAKESHORE ACQUISITION III CO,
LOKVW,LIVE OAK ACQUISITION CORP V,
NHICW,NEWHOLD INVT CORP III,
QSEAR,QUARTZSEA ACQUISITION CORP,
RAAQW,REAL ASSET ACQUISITION CORP,
SDHIR,SIDDHI ACQUISITION CORP,
SZZLR,SIZZLE ACQUISITION CORP. II,
SVCCW,STELLAR V CAP CORP,
TACHW,TITAN ACQUISITION CORP,
FGMCR,FG MERGER II CORP,
APADR,A PARADISE ACQUISITION CORP,
BLUWW,BLUE WTR ACQUISITION CORP. I,
CCIIW,COHEN CIRCLE ACQUISIT CORP I,
KOYNW,CSLM DIGITA ASSET ACQ CORP I,
ETHMW,DYNAMIX CORP,
GTERR,GLOBA TERRA ACQUISITION COR,
INACR,INDIGO ACQUISITION CORP,
ORIQW,ORIGIN INVT CORP I,
OBAWW,OXLEY BRIDGE ACQ LTD,
PACHW,PIONEER ACQUISITION I CORP,
TVAIR,THAYER VENTURES ACQ CORP II,
WTGUR,WINTERGREEN ACQUISITION CORP,
BRRWW,PROCAP FINL INC,
ASPCR,A SPAC III ACQUISITION CORP,
BDCIW,BTC DEV CORP,
ALISR,CALISA ACQUISITION CORP,
DMIIR,DRUGS MADE IN AMER ACQ II CO,
DNMXW,DYNAMIX CORP III,
DYORW,INSIGHT DIGITAL PARTNERS II,
MKLYR,MCKINLEY ACQUISITION CORP,
QUMSR,QUANTUMSPHERE ACQUISITION CO,
APACR,STONEBRIDGE ACQUISITION II C,
SSEAR,STARRY SEA ACQUISITION CORP,
JTKWY,JUST EAT TAKEAWAY COM N V,
NBSTW,NEWBURY STREET ACQUISITION CORP,
DJTWW,TRUMP MEDIA & TECHNOLOGY GRO,
WGSWW,SEMA4 HOLDINGS CORP,
BHLWQ,BENSON HILL INC,
